microresnet_ghost_loss,microresnet_loss,microresnet_loss_alpha_0.3_temperature_2,microresnet_loss_alpha_0.3_temperature_4,microresnet_loss_alpha_0.3_temperature_8,microresnet_loss_alpha_0.5_temperature_2,microresnet_loss_alpha_0.5_temperature_4,microresnet_loss_alpha_0.5_temperature_8,microresnet_loss_alpha_0.7_temperature_2,microresnet_loss_alpha_0.7_temperature_4,microresnet_loss_alpha_0.7_temperature_8,microresnet_loss_alpha_0.9_temperature_2,microresnet_loss_alpha_0.9_temperature_4,microresnet_loss_alpha_0.9_temperature_8
6.040668281447857,6.711739971814558,2.823387185630896,3.822889492030034,3.386538340917329,3.69378427349393,5.250933109341985,4.39978138321196,4.4349957219779945,6.51566136645539,5.630531430549329,5.114609358560704,8.15631455472668,6.600949353269299
4.628304792487103,5.583268991211796,2.214507746879402,3.221328261563236,2.858086751245172,3.0522395302267635,4.254703127819559,3.6293288136992,3.607603564591664,5.239188534524435,4.631625932805679,4.206335803736812,6.526329596634106,5.299252964956376
4.099705115608547,5.005025785597389,1.9547791087718875,2.87509098748112,2.557847158988113,2.6015461094848944,3.717497173172738,3.248007160318477,3.045998718427575,4.606240033493627,4.1262763272161065,3.6581856192225386,5.711893676796837,4.647833246709136
3.835904351890545,4.520889227957372,1.8241702284654389,2.624185535304077,2.359647876466327,2.349396307145238,3.4342957811282417,3.0030346038701285,2.781212180471786,4.273071617726475,3.845724359497695,3.3159588419872783,5.247707202306489,4.2988248871415475
3.602151700602773,4.214394660252134,1.736113516570967,2.4399124310754448,2.238019023709895,2.220588108767634,3.2220524095208445,2.81996724916541,2.632862793819984,4.004205508610172,3.620897461386288,3.141837268839102,4.950479957453736,4.1066190769605315
3.467518683894516,4.017629040476611,1.658516239937004,2.3404787007500145,2.1293012479991864,2.11438936589624,3.071570975701217,2.679284619553315,2.518260417082121,3.814889002334127,3.459630561911541,2.942523391655339,4.716216651984798,3.925777950555162
3.388685354491329,3.872699436934098,1.6052106710346157,2.247957869258988,2.056581295664658,2.045933220697486,2.9475065972798924,2.585055501259806,2.429493436423104,3.643208046398504,3.3649073872724764,2.7860362682196187,4.532558949707109,3.815091952643431
3.2351147598012937,3.75827623572191,1.5496669602211175,2.1923194330976443,1.9901221200938115,1.990365565280476,2.850051674391608,2.5147624826797133,2.3068955310470307,3.518836539724598,3.2615153417562888,2.730823186962196,4.4012464623317085,3.668005190237099
3.166694950264738,3.5912486293431742,1.5055332790555247,2.1492425310032446,1.9312918677049524,1.929680430675712,2.758734509768084,2.4527736304666075,2.210592188493675,3.429267218655637,3.14501941295536,2.5981393607376178,4.236711810616886,3.536458115443549
3.032839683010755,3.491068421727251,1.4825389037656662,2.098204995665099,1.8598151612464728,1.8876597353869389,2.7146568334925814,2.392098993901401,2.135038281340733,3.358922433365336,3.0782397445815297,2.5337114892042507,4.038349637594979,3.4584241151199926
3.009279541957104,3.3841443141098217,1.4460394166009811,2.058055520362561,1.80801024034505,1.80552674742306,2.617959353015246,2.35507573557022,2.0770188701122314,3.277080030392503,3.020467884400312,2.482441916185267,3.9245347775461727,3.4147107973123147
3.0022579294336422,3.3068267134449365,1.4222012288735042,2.002596723758961,1.779600612342815,1.7627254892188264,2.5748759303861264,2.319583415680224,2.056517446437456,3.2333117031380345,2.961790262890594,2.424627273283956,3.854552686671772,3.3499798439347837
2.9167440468088137,3.2029609887496284,1.3982133170222992,1.9914637154630384,1.754640195070935,1.7154663392649891,2.5251047135618947,2.2825478178156,2.0173596110185392,3.1561444927664364,2.9052638891712785,2.400513186479164,3.784642599427792,3.2938442888772093
2.8797045912584074,3.179495230964992,1.3735184239609468,1.9324147637237976,1.7226318166688883,1.7142527594285852,2.499004679567673,2.267793891070139,1.9683628152398505,3.099814629615725,2.8848396323221115,2.353682853071891,3.740487823096078,3.2787237746636277
2.890428808339112,3.1167639612846667,1.3516029082905603,1.9085787504225435,1.7100295773552507,1.64892900996196,2.47274692802478,2.246370960379501,1.9449535876588748,3.087441627936595,2.84652482640103,2.3323546474242147,3.686741599646371,3.2758001860450294
2.864660693556452,3.095318405829427,1.3480290235460872,1.8817121293538672,1.6952546926410608,1.6493090875923175,2.464788222556834,2.206099598304085,1.9451063148810728,3.0582578072462545,2.799477656479077,2.2753208119546056,3.649190758805141,3.244307410076756
2.8593015707362337,3.068661511706574,1.3207761041648554,1.8612285895115883,1.671461034613802,1.640646738774331,2.424055971148069,2.1916060283056003,1.932065553372473,3.041247225173599,2.7937397249519367,2.31540754871905,3.641769221981468,3.216825185834294
2.865344256086422,3.004256913729031,1.3177476938423294,1.83390186723236,1.6615239564720017,1.6210000429616864,2.405621662469166,2.184460123481653,1.9109480320035344,2.995379188176616,2.770829518432812,2.271878625730724,3.588615265038922,3.2241172894187597
2.8698334998791784,2.99931657649672,1.310032896373583,1.8318843115930967,1.647137213545992,1.603926093986882,2.401167865299508,2.1675836695429616,1.8933504103394725,2.97838292829216,2.7351986496039973,2.272641147798894,3.590955610470394,3.1719540177708696
2.8240848093691384,2.991249298500588,1.302050913233891,1.8106984177513803,1.6349814804008855,1.588186560689336,2.383580618502234,2.1560829451017063,1.869965982559087,2.948161672753141,2.7171902680945825,2.2519885719279804,3.576788393737715,3.191465524151502
2.792691645414933,2.9848108712364647,1.3033803625179985,1.79636685957994,1.640949558723918,1.587712897669019,2.381365597400519,2.1545606180834955,1.872026091036589,2.950795273036908,2.702987531261981,2.246650690312886,3.5503717231018768,3.1623969047575655
2.842923607667694,2.936771105012625,1.282645525682308,1.7960558388849048,1.6183819731178186,1.5751907240094432,2.3624865066669787,2.125006874503992,1.8507641337411789,2.953117817564084,2.6982649220225148,2.2504732444158297,3.5368555848250915,3.1487613395047003
2.815682529488488,2.9398163797910257,1.2773348858289402,1.7730719631590195,1.6164649298123996,1.5795293049434262,2.344275883091685,2.1296087491237903,1.8698701742664927,2.941751048997845,2.673822315757537,2.22209054460306,3.510337463120365,3.1238818290593375
2.7927859664877968,2.95973188492953,1.2794211330011374,1.763325050053999,1.601541760327566,1.5856754892622418,2.345479146903738,2.1151013374328613,1.8376014555811573,2.91055475110593,2.6625099090663977,2.2050099278350013,3.509763201179407,3.1496524414442995
2.778274785527183,2.893794450613544,1.286004595134569,1.751161654282104,1.6181968377374325,1.557110028193735,2.323860764503479,2.1102584515081344,1.8436246893899824,2.912251929797785,2.6547052091954613,2.2183118528112424,3.500524893441164,3.112093262050463
2.7787405749416108,2.906147897091058,1.2723418358341811,1.7563302099247418,1.5967324728246235,1.5485113914055593,2.3206888656786946,2.113474032153254,1.828869466586491,2.9004399886216654,2.6451117041165872,2.196625229037936,3.487271544268674,3.141499152878666
2.745112474617141,2.9091012770562528,1.2719971618384047,1.7383164048499768,1.59993551179881,1.5501926494071552,2.321020168721524,2.1082421477188538,1.836258220550654,2.879503155608312,2.633395348058637,2.199985410551281,3.513591263300317,3.1215133904801
2.757972093494347,2.902222382747913,1.2693807909555752,1.7473977170027126,1.5964389338212854,1.537992320707082,2.302581522775733,2.101304434144589,1.832106994850861,2.893024818976517,2.610317171077289,2.194676097091812,3.444983442116272,3.0924441082703185
2.741237975142496,2.8931000379040417,1.251970141135213,1.7344198071438333,1.5707568808284866,1.5336021614806423,2.3144792449443847,2.0853195730072764,1.8185230597205784,2.880920876017617,2.6131135008829025,2.183167918868687,3.460479983893197,3.101451573774333
2.754822622479685,2.88645281450218,1.2603446536356837,1.7404117687888767,1.576965152759991,1.5361439126836671,2.3200591601374203,2.0925067379651474,1.831039086327224,2.8693687531649306,2.601965956065966,2.1693559397212074,3.4557517629755123,3.092770556964533
2.7150066478173143,2.856791784696262,1.2443051790947195,1.721438237163417,1.5772722224750175,1.5287630372035228,2.297736536206492,2.0872065350222773,1.8065701387727355,2.8670894002060754,2.6076381127242847,2.1837413527471634,3.464510460338934,3.0877166074865006
2.731614963477835,2.8577079272940944,1.2532243140213324,1.7180131518322488,1.5822559287176108,1.5272843999326076,2.2852039940826727,2.073138314134934,1.8105774325178103,2.847383222311659,2.573427197268552,2.1695041668689465,3.426463763122364,3.1025272708414766
2.734555842016664,2.851402718697668,1.244117341687917,1.7215649596870404,1.5666527525543252,1.5218770772294925,2.304530212336489,2.074404591794514,1.805394689750184,2.8608034236351854,2.57799313806207,2.1478706738528084,3.4215893001507616,3.0726501283133425
2.7286456149557363,2.854106692097071,1.2441363926128963,1.7100486328534763,1.554902604168943,1.5413819606346852,2.29618458095414,2.056041999851041,1.805410187262708,2.842836403785764,2.5683637653165463,2.1555610154290945,3.464306095372076,3.0581210122998717
2.708005534413525,2.8506363651636617,1.2332834441338658,1.714403830220937,1.5541206814748856,1.5124898514784206,2.264781518055655,2.0571891124291186,1.815494928823408,2.837644724589784,2.572230172584124,2.1605040892920533,3.463340467809106,3.0738859280295996
2.729104521939212,2.836346649452853,1.246323318737547,1.7199880302409687,1.5596340876406112,1.534323690797362,2.2619192572810767,2.07726070338198,1.7994974955268528,2.833606213864768,2.579640447636089,2.139510587962997,3.431794520839096,3.044492241061862
2.71712529933666,2.822185008422188,1.2304289484267954,1.6884038030643902,1.5505292772332115,1.533179374607018,2.259267990241576,2.058825563896648,1.7873681521476688,2.8252693503104207,2.561283674386456,2.128553242024863,3.414299450262124,3.0557813229768174
2.7021302567113694,2.8469656745491125,1.2437788203854083,1.7009354683444322,1.5512215456999172,1.5154929179364762,2.2635570288924,2.0697903995928555,1.7884126883333602,2.817693047511303,2.564721616637676,2.137952878652021,3.4195083480356905,3.0458345785165384
2.723326671153993,2.853109301813423,1.2258307766121672,1.694358402200977,1.5583861660774407,1.5085581394717515,2.263872610028748,2.0652067707017863,1.7852432700374243,2.798628415597979,2.5522700740248347,2.1402732103377047,3.421207873717598,3.078420902457079
2.706819140392801,2.830364896208429,1.2311048547325232,1.7015563514836305,1.546104438164655,1.4911783479363716,2.2608824672601413,2.0679640108362185,1.7931996897968183,2.816755622244247,2.5619232703352828,2.127083757039531,3.41567393093158,3.0569211820812177
2.7086091864749293,2.824570796068977,1.230374437006538,1.683926543616273,1.5460582291683578,1.5065562475063,2.2457396901781905,2.051081471735864,1.7987962534360569,2.8397451319048166,2.5603363361504985,2.130405067787756,3.422824723641281,3.038375264848285
2.6772502297940464,2.816935625832404,1.2368304365126372,1.6806734257646838,1.5419555664672266,1.4966798532954262,2.238935851075156,2.059612859545461,1.7763602230554956,2.8138454856775,2.5347971135698013,2.121059077170194,3.4198256660910213,3.045808020150265
